participant,Sampler,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,lambda_A,lambda_B,train_error
QP0100,CMA-ES,0.15459970910912518,0.1074470386672721,0.5725402526982574,0.16732525791212802,0.08380929333107487,7.0576344531993,0.0,0.08339169008727093,0.09006875061911088,0.009843131486823939
QP0101,CMA-ES,0.1573989453237452,0.1325411097670569,0.5628608655187901,0.3562047780217315,0.040714904294394186,7.784745162939724,0.0,0.01870899144706162,0.058159237571226444,0.013661411926514676
QP0103,CMA-ES,0.06381615510299428,0.3463222278836175,0.5046922672949995,0.25475130728545375,0.1148424510961892,9.244899116456688,0.0,0.07714761567775523,0.05217964877918991,0.022364193820546142
QP0121,CMA-ES,0.12975727367291043,0.23204854127590688,0.18668198535303993,0.18322238368755372,0.05182872550840356,8.525704000608854,0.0,0.06826948245902059,0.05215495168048166,0.011460068353935777
QP062,CMA-ES,0.06137847161492149,0.18987877304850798,0.5246430021007787,0.636632649523674,0.08067535765813776,3.7642195233652482,0.0,0.04830084515832966,0.021943505370790223,0.008026216090003663
QP063,CMA-ES,0.1480932786081222,0.01774831165127854,0.20704795236252924,0.40423955383045235,0.08446510854060252,8.709127033235099,0.0,0.04712223045822043,0.0736131897204593,0.004986083075093025
QP070,CMA-ES,0.08597612854811376,0.12483891833245409,0.5608440387464129,0.4640447495763773,0.12826029112679732,5.065599817269538,0.0,0.06548837406881132,0.11743306933358226,0.014552906758275915
QP071,CMA-ES,0.18075483420451632,0.1823927132045775,0.724646267573705,0.6882940229480261,0.0506355451612081,6.733621440338636,0.0,0.081542558227026,0.012924007721860482,0.019064603363346307
QP0100,TPE,0.17886422800521784,0.11244034588429819,0.5588470336092551,0.1793579072596409,0.06987803496094872,5.81240640013488,0.0,0.08339169008727093,0.09006875061911088,0.009342325462082118
QP0101,TPE,0.12991834780945277,0.017628105978387786,0.08470428124709248,0.5479486223367986,0.05076813624555472,3.3647450856012404,0.0,0.01870899144706162,0.058159237571226444,0.010012473582771462
QP0103,TPE,0.06091460454303614,0.09007268043039121,0.4514036523888738,0.19542291210687837,0.12739163147983662,3.2088987584504984,0.0,0.07714761567775523,0.05217964877918991,0.01931864345449214
QP0121,TPE,0.07987448352199175,0.03865852537807856,0.5022623662694295,0.17741057293198476,0.17942179257441113,7.15077284194828,0.0,0.06826948245902059,0.05215495168048166,0.011167046160384445
QP062,TPE,0.15088598390639507,0.015715707284224504,0.37713908219793263,0.23163151731728035,0.030258806630811194,4.009367406704351,0.0,0.04830084515832966,0.021943505370790223,0.005547683356825003
QP063,TPE,0.10743900726163613,0.16195066542480463,0.06956321206632629,0.06841022596605412,0.0654989731077317,5.065748749637509,0.0,0.04712223045822043,0.0736131897204593,0.003560591354276693
QP070,TPE,0.06733328382393428,0.10464194741532347,0.6719432316269093,0.02040510011693876,0.12390613192065711,8.551270208228395,0.0,0.06548837406881132,0.11743306933358226,0.01448008060906656
QP071,TPE,0.10266364754076804,0.03192238876477084,0.2988208249541834,0.6991078482101423,0.06094563515461946,4.394195125530575,0.0,0.081542558227026,0.012924007721860482,0.00962827554687059
