2026-03-05 17:57:42,877 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 17:57:44,449 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 17:57:44,764 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 18:02:53,079 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 18:02:54,814 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 18:02:55,122 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 18:04:00,884 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 18:04:02,485 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 18:04:02,875 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 18:06:04,768 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 18:06:06,149 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 18:06:06,388 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 18:54:37,604 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 18:54:39,200 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 18:54:39,541 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 19:21:23,210 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 19:21:24,671 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 19:21:24,939 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 19:23:57,559 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 19:23:58,952 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 19:23:59,201 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 19:25:44,014 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 19:25:45,693 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 19:25:45,999 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 19:26:42,430 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 19:26:43,949 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 19:26:44,227 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 19:27:45,918 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 19:27:47,543 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 19:27:47,900 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 19:30:27,920 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 19:30:29,471 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 19:30:29,729 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 19:33:23,562 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 19:33:24,900 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 19:33:25,158 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 20:20:15,251 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 20:20:16,792 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 20:20:17,068 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 20:43:10,259 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 20:43:11,784 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 20:43:12,090 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 20:43:35,356 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 20:43:36,838 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 20:43:37,101 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 20:50:03,237 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 20:50:04,725 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 20:50:04,998 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 20:52:34,809 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 20:52:36,184 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 20:52:36,442 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 20:56:25,806 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 20:56:27,053 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 20:56:27,281 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 20:57:02,476 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 20:57:03,846 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 20:57:04,098 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 20:58:40,018 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 20:58:41,330 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 20:58:41,576 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 21:03:34,104 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 21:03:35,877 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 21:03:36,182 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 21:16:35,071 | WARNING | Fitter:269 | post_correct_update_matrix: fit_Psych_curve returned None at interval 0, filling with NaNs
2026-03-05 22:25:12,262 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 22:25:13,834 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
2026-03-05 22:25:14,122 | WARNING | Gradient_free_Opt:17 | 🔍 Logging initialized in Gradient_free_Opt.py
2026-03-05 22:32:05,994 | WARNING | Hybrid_hpc_utils:16 | 🔍 Logging initialized in hpc_utils.py
2026-03-05 22:32:07,434 | WARNING | Fitter:20 | 🔍 Logging initialized in Fitter.py
