participant,side,Sampler,seed,fold,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,train error,test error
QP0100,Asym_right,CMA-ES,1,1,0.18464152968584596,0.17634761377825212,0.6774603221464881,0.10283508814923731,1.0537383811522198,1.0884520978130625,0.5362715894272497,0.05890611129303406,0.08626250284568542
QP0100,Asym_right,CMA-ES,1,2,0.34802629870945745,0.1424616280044651,0.559167928505824,0.28847672621683074,0.6685550267905646,5.441387477883353,0.8838747500541257,0.03406175041742217,0.06178557441419405
QP0100,Asym_right,CMA-ES,2,1,0.2809322644359148,0.25806667980368947,0.7104081819119583,0.16070602146994964,2.422057126424097,1.830110335601431,0.619069651904307,0.03946298968024339,0.05638125087752034
QP0100,Asym_right,CMA-ES,2,2,0.3253926960105612,0.21401461272525077,0.9547064719833015,0.3469848764469537,2.4563055985061366,5.36906735569958,0.6042169565255359,0.024314717632865326,0.044614140118350396
QP0100,Asym_right,CMA-ES,3,1,0.30175067272282724,0.12496616600970543,0.8002363603180275,0.5290761656926364,2.130689357544185,7.330898876528726,0.7795298319140448,0.02036747957358173,0.07498685864921337
QP0100,Asym_right,CMA-ES,3,2,0.38459223226592354,0.16574096607579558,0.5128198589645837,0.43089369357690027,2.0944514143467674,7.0917230813980465,0.9727115477946993,0.024478724003999225,0.07536525775914138
QP0100,Asym_right,CMA-ES,4,1,0.35129318475124005,0.023496577558315745,0.8844831821411221,0.4720829434489696,1.175309973744933,4.710902295688723,0.8220360162277092,0.03468831116169386,0.03766604139605996
QP0100,Asym_right,CMA-ES,4,2,0.31550431524126366,0.30051163302364475,0.8765917351752366,0.3947868598522685,2.488760551776129,4.914886852455014,0.5849035266760733,0.05262703773425974,0.052050483119306476
QP0100,Asym_right,CMA-ES,5,1,0.29716293171949626,0.1059438401289364,0.8220690894686589,0.2480695347423196,1.154522388325439,3.718782452129343,0.9442926501983182,0.03279396962944971,0.055115253611511934
QP0100,Asym_right,CMA-ES,5,2,0.24752991965045767,0.13393044851955427,0.17530928627659514,0.09213490203062132,0.1952034232443141,8.54187658622187,0.3469393787063234,0.04213094757585896,0.05555516184740632
