participant,Sampler,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,lambda_A,lambda_B,train_error
QP0100,CMA-ES,0.25980273358253986,0.21763644691090703,0.9339255336594022,0.2358462792176775,0.2716734380978662,3.2752090625983015,0.4031420179348899,0.08339169008727093,0.09006875061911088,0.023236900013870875
QP0101,CMA-ES,0.2259534670977167,0.29624174946214493,0.7938830301251928,0.3699092319315449,1.5745591143454596,4.690051665454443,0.5958866030107329,0.01870899144706162,0.058159237571226444,0.08499926920597843
QP0103,CMA-ES,0.2535359257116125,0.20592325517031448,0.9705681688434209,0.42603039831717954,1.358690420586078,2.7436921933388034,0.7022534061671546,0.07714761567775523,0.05217964877918991,0.0309225841730437
QP0121,CMA-ES,0.23817086773480006,0.2515979321291217,0.6982596203638236,0.2996556174493396,2.0285677940904536,4.6921099617628315,0.6518074094053797,0.06826948245902059,0.05215495168048166,0.032336102139280995
QP062,CMA-ES,0.22891003377587643,0.16816642400703094,0.9115896548088582,0.29170886650113576,1.7309265121391602,5.71971889051888,0.7386252034931459,0.04830084515832966,0.021943505370790223,0.011741317791819021
QP063,CMA-ES,0.24054058874330891,0.026313642834337778,0.8851322378764452,0.29720509879347784,0.8748173063558922,5.016629362714752,0.7786010860382171,0.04712223045822043,0.0736131897204593,0.01705956840937951
QP070,CMA-ES,0.1716237712671852,0.06554948343962064,0.7838231580138407,0.3050705744520196,0.09210098928272353,3.2093571516490815,0.2949227963292369,0.06548837406881132,0.11743306933358226,0.042625248626364354
QP071,CMA-ES,0.24326353402125378,0.13116503887728206,0.9502686978186442,0.5651638253365375,0.6217911815176187,7.737934140578856,0.9088262113047448,0.081542558227026,0.012924007721860482,0.018642822830599808
QP0100,TPE,0.3681248068222131,0.08900659885112668,0.9771823585789448,0.5163788873532101,2.3419201352222045,6.42395567014289,0.7000487149490489,0.08339169008727093,0.09006875061911088,0.017568914971611525
QP0101,TPE,0.19663270540404268,0.01714951224038681,0.9594017717602177,0.5366333540230133,0.6366682027594031,6.325115290463892,0.6426359742842548,0.01870899144706162,0.058159237571226444,0.0717694454121224
QP0103,TPE,0.24128725858964306,0.07717703181241364,0.8632078161980056,0.5492350480134776,1.8335393267382578,1.5044774127853253,0.900154298169237,0.07714761567775523,0.05217964877918991,0.03353181128319578
QP0121,TPE,0.31204022015994914,0.4427467834210527,0.9970143078473914,0.6062821096129313,2.6698228976620673,4.8649582283464445,0.6864247269933708,0.06826948245902059,0.05215495168048166,0.0331305798488974
QP062,TPE,0.24254874736236684,0.050146512086002626,0.9667804667915996,0.35358950203811107,0.2003269265183049,2.8594918894167316,0.7010564723783457,0.04830084515832966,0.021943505370790223,0.010090376808201879
QP063,TPE,0.1563003555021448,0.02619314369287616,0.4683946870279494,0.15609665571049136,0.4216892250016583,1.9111662811223002,0.46080041524768883,0.04712223045822043,0.0736131897204593,0.02379189366200904
QP070,TPE,0.10355189470193056,0.03740439984913127,0.9086030541621362,0.3872668548315933,0.12988823752849266,6.54580591245423,0.045840172422162075,0.06548837406881132,0.11743306933358226,0.03650924358050382
QP071,TPE,0.21697335482318647,0.019325059904357074,0.964380703598716,0.4062446235489035,2.5091320961967174,6.709274892184363,0.8774641145383371,0.081542558227026,0.012924007721860482,0.012413652387391706
