participant,Sampler,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,lambda_A,lambda_B,train_error
QP0100,CMA-ES,0.23586876359988077,0.20036366461041377,0.3229678659439849,0.2688060387713022,0.05651228137373782,5.203763345078906,0.1129291032984521,0.08339169008727093,0.09006875061911088,0.009506765996430576
QP0101,CMA-ES,0.10930909531273716,0.03776816411285365,0.946127763193117,0.46346109522553836,0.11399825640947144,3.5472445115257396,0.0446523005942681,0.01870899144706162,0.058159237571226444,0.012865245361369574
QP0103,CMA-ES,0.23946317597796915,0.16263115568542813,0.9444319007018599,0.3108737277165911,0.15234035386541517,6.7610885517424,0.4531836048764821,0.07714761567775523,0.05217964877918991,0.013883332101887094
QP0121,CMA-ES,0.1512125271632882,0.3226111477693226,0.6411563394325266,0.5406163006953439,0.09542492204108932,3.6149535511939055,0.3121881552921219,0.06826948245902059,0.05215495168048166,0.01044420528295089
QP062,CMA-ES,0.2119532268234592,0.032352947391959395,0.927528262407281,0.43572934669817726,0.04973273415888263,5.499979212443777,0.400403069282385,0.04830084515832966,0.021943505370790223,0.0033617036948580155
QP063,CMA-ES,0.18611535866146053,0.06329727024560694,0.8226620221118475,0.6695026182891086,0.06967879667677038,1.4772097417662646,0.4810212230890837,0.04712223045822043,0.0736131897204593,0.003520424021058576
QP070,CMA-ES,0.1334134945515505,0.011748092175678085,0.7825206413375425,0.4195111884854688,0.07619658201321333,7.171432166848005,0.12783607055789406,0.06548837406881132,0.11743306933358226,0.012148371488928235
QP071,CMA-ES,0.19539697174357154,0.03776415966005215,0.8665780981621397,0.6925568585734901,0.10802685089260919,4.886198471767478,0.8160584263387067,0.081542558227026,0.012924007721860482,0.0055806952150027865
QP0100,TPE,0.22812386778268928,0.002412135824803088,0.7443841811308528,0.027292590390479432,0.11990697868304806,7.697305868051821,0.1795741260432651,0.08339169008727093,0.09006875061911088,0.007055841954316029
QP0101,TPE,0.12960534108719945,0.020729855546151237,0.8075664775976847,0.3162911302016371,0.08062070603238218,1.3002973195417304,0.06183869142857818,0.01870899144706162,0.058159237571226444,0.007798054961612023
QP0103,TPE,0.21794129396783987,0.02873845664838133,0.875372391769786,0.20860783105921085,0.18749759800697202,1.1315798592519122,0.5955144881699314,0.07714761567775523,0.05217964877918991,0.010064461210917247
QP0121,TPE,0.1652324657899714,0.011131845345669328,0.39446192540552627,0.4127649109619274,0.06264867315643184,9.499502872387996,0.17702642958332582,0.06826948245902059,0.05215495168048166,0.010438270151658553
QP062,TPE,0.23888437738254487,0.049632943729118896,0.9252089155055944,0.6039047546172059,0.10591389404215673,6.220314382888238,0.7811638126577604,0.04830084515832966,0.021943505370790223,0.002867484988367779
QP063,TPE,0.24538689128045132,0.008859785368879164,0.9641303023317408,0.6061201823010025,0.06605536331679521,5.991588620661592,0.49397730041988563,0.04712223045822043,0.0736131897204593,0.003705987675750779
QP070,TPE,0.10548374172290235,0.03992470650061458,0.6398753363022546,0.09728915889570261,0.10959336549926474,8.038562150585317,0.043985912600411,0.06548837406881132,0.11743306933358226,0.01145822835428813
QP071,TPE,0.18071950714416993,0.15921336018181148,0.9316089224711298,0.3601229837162251,0.15938709659471006,5.239057091985856,0.46705317527059637,0.081542558227026,0.012924007721860482,0.005743130176391086
