participant,Sampler,sigma_noise,A_repulsion,gamma,sigma_update,eta_learning,sigma_boundary,alpha,lambda_A,lambda_B,train_error
QP0100,CMA-ES,0.27398888365377455,0.14008983755904125,0.9745288394895577,0.47737708536516815,1.9498867231467718,5.035309855428442,0.6290420227303789,0.08339169008727093,0.09006875061911088,0.009380924503025127
QP0101,CMA-ES,0.09799761107802514,0.1800920376162592,0.7090403011657441,0.6593243366659328,0.43660783491815847,0.16672102075170128,0.33046260458842025,0.01870899144706162,0.058159237571226444,0.019170806403779262
QP0103,CMA-ES,0.21447631949490376,0.1416049476282595,0.9033333003949338,0.12532668644934997,1.129515285377556,6.8198114157811744,0.676231536100691,0.07714761567775523,0.05217964877918991,0.011142465128783585
QP0121,CMA-ES,0.2150212218786125,0.29768427305890977,0.6084203377203635,0.5704549250180743,0.2535489573866218,6.097658928330743,0.7114923854414466,0.06826948245902059,0.05215495168048166,0.011247229078655982
QP062,CMA-ES,0.22277043772944305,0.10073629140180157,0.7098970917361875,0.33458898298489614,1.722656403958868,6.070482430903995,0.8895040905756908,0.04830084515832966,0.021943505370790223,0.0069187066529890345
QP063,CMA-ES,0.2647335236718306,0.08888056763244007,0.9404929517559361,0.5303710149756755,0.7717213798207806,6.290872202757812,0.7457135309705729,0.04712223045822043,0.0736131897204593,0.006797701596505539
QP070,CMA-ES,0.17155403635241986,0.08656336992646291,0.6580042026603014,0.5665644612380596,0.1990653238743279,2.163169405424497,0.5835999823229505,0.06548837406881132,0.11743306933358226,0.017700442004613334
QP071,CMA-ES,0.2437210530210423,0.07311034841319487,0.9597005253817131,0.47255846387014855,0.9641205041177408,3.5595818896719376,0.7850749872124589,0.081542558227026,0.012924007721860482,0.004355523242179272
QP0100,TPE,0.313890282717203,0.23682179159542033,0.8625371731963598,0.6306024705048447,2.9759587038900035,1.3416899769517072,0.6856264383951955,0.08339169008727093,0.09006875061911088,0.0059659125670242135
QP0101,TPE,0.26152652332399423,0.09345688500135385,0.9992252435117269,0.6425734951233989,1.1845698452342384,6.104744769443611,0.6662746894564431,0.01870899144706162,0.058159237571226444,0.024786166108170735
QP0103,TPE,0.25544557498002807,0.02125450424968888,0.9194773033637313,0.4648357102485428,2.258133817276783,7.329451563882023,0.8111390483365063,0.07714761567775523,0.05217964877918991,0.009008091956792365
QP0121,TPE,0.12281551074253101,0.375841692310654,0.7709682877986195,0.16656640583710117,0.10796906913032456,5.451269172693372,0.17945682832062326,0.06826948245902059,0.05215495168048166,0.012460229311296632
QP062,TPE,0.2571760152743758,0.020757419527630203,0.9953573576171795,0.47341033273170274,1.968549155996097,6.059492359756425,0.901458961911642,0.04830084515832966,0.021943505370790223,0.0028611044436101947
QP063,TPE,0.20203522287351955,0.056595286781722286,0.6902433172331925,0.6920900408702586,0.28839085923931307,1.71635298433331,0.875775276505119,0.04712223045822043,0.0736131897204593,0.0059409282296795235
QP070,TPE,0.2172520738124138,0.029383349154457346,0.8999009543169892,0.15804319805630637,2.46997048295541,8.838512996214188,0.5132684525671906,0.06548837406881132,0.11743306933358226,0.014472400191485598
QP071,TPE,0.15021999541858166,0.13557144138469468,0.846600339774389,0.1857556751412575,2.7817905603123108,5.313318140999691,0.633125706024777,0.081542558227026,0.012924007721860482,0.009076401675057464
